"id";"event_id";"bib";"video_count";"videoname";"upload_time";"orientation";"screen_id";"played_time";"played";"detection_time";"detection";"ready";"approved";"trash";"remark"
"146";;"20695";"2";"20695-2.mov";"2025-10-02 11:55:41";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"147";;"20695";"3";"20695-3.mov";"2025-10-02 11:55:52";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"148";;"4734";"1";"4734-1.mov";"2025-10-02 12:14:08";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Kühlschrankmetapher"
"149";;"23643";"1";"23643-1.mp4";"2025-10-02 12:16:57";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"150";;"4343";"1";"4343-1.mov";"2025-10-02 12:21:20";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"151";;"23128";"1";"23128-1.mov";"2025-10-02 12:30:51";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Lustig"
"152";;"1031";"1";"1031-1.mp4";"2025-10-02 12:51:46";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Süß"
"153";;"5869";"1";"5869-1.mp4";"2025-10-02 13:22:20";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"154";;"5869";"2";"5869-2.mp4";"2025-10-02 13:22:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"155";;"2072";"1";"2072-1.mov";"2025-10-02 13:22:55";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"156";;"2072";"2";"2072-2.mov";"2025-10-02 13:22:57";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"157";;"305";"2";"305-2.mov";"2025-10-02 13:51:18";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"158";;"12850";"1";"12850-1.mp4";"2025-10-02 13:54:05";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Laufender Feuerwehrmann mit Feuerwehrkostüm"
"159";;"33524";"1";"33524-1.mov";"2025-10-02 13:57:50";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"160";;"29427";"1";"29427-1.mp4";"2025-10-02 13:59:08";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"161";;"28093";"1";"28093-1.mp4";"2025-10-02 14:18:42";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"162";;"9780";"1";"9780-1.mov";"2025-10-02 14:19:13";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"163";;"21178";"1";"21178-1.mov";"2025-10-02 14:27:51";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"164";;"14689";"1";"14689-1.mp4";"2025-10-02 14:28:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Chemikerin im Labor"
"165";;"21178";"2";"21178-2.mov";"2025-10-02 14:30:07";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"166";;"3809";"1";"3809-1.mov";"2025-10-02 14:32:16";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"167";;"4775";"1";"4775-1.mov";"2025-10-02 14:33:21";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Fußballmannschaft"
"168";;"7364";"1";"7364-1.mov";"2025-10-02 14:39:29";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"169";;"7364";"2";"7364-2.mov";"2025-10-02 14:39:35";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"170";;"12980";"1";"12980-1.mov";"2025-10-02 14:39:37";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Blitzer"
"171";;"26468";"1";"26468-1.mov";"2025-10-02 14:40:18";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"""Die Ampel ist grün, du schaffst das"""
"172";;"4552";"1";"4552-1.mp4";"2025-10-02 14:41:33";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"173";;"10968";"1";"10968-1.mp4";"2025-10-02 14:47:27";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Freddie Mercury Immitat"
"174";;"10967";"1";"10967-1.mp4";"2025-10-02 14:51:57";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Konzert von Bruce Springsteen (Born to Run)"
"175";;"8462";"1";"8462-1.mov";"2025-10-02 14:59:06";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"176";;"33147";"1";"33147-1.mov";"2025-10-02 15:18:23";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";"Super-Papa (sehr kreativ)"
"177";;"4242";"1";"4242-1.mp4";"2025-10-02 15:44:10";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"178";;"932";"1";"932-1.mov";"2025-10-02 15:44:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"Hund mit Sonnenbrille"
"179";;"21189";"1";"21189-1.mov";"2025-10-02 18:18:28";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"180";;"305";"3";"305-3.mp4";"2025-10-02 18:21:53";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"181";;"305";"4";"305-4.mov";"2025-10-02 18:37:02";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"182";;"21018";"1";"21018-1.MOV";"2025-10-02 18:45:16";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"183";;"22592";"1";"22592-1.mp4";"2025-10-02 18:46:50";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"184";;"25978";"1";"25978-1.mov";"2025-10-02 18:54:13";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"185";;"2779";"4";"2779-4.mov";"2025-10-02 18:59:58";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"186";;"18509";"1";"18509-1.mp4";"2025-10-02 19:03:14";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"187";;"2272";"1";"2272-1.mp4";"2025-10-02 19:06:32";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"188";;"3369";"1";"3369-1.mp4";"2025-10-02 19:06:39";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"189";;"14689";"2";"14689-2.mp4";"2025-10-02 19:07:43";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"190";;"22592";"2";"22592-2.mp4";"2025-10-02 19:08:52";"1";"1";NULL;"0";NULL;"0";"0";"1";"1";
"191";;"4394";"1";"4394-1.mov";"2025-10-02 19:09:04";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"192";;"18046";"1";"18046-1.mp4";"2025-10-02 19:09:21";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"193";;"15564";"3";"15564-3.mp4";"2025-10-02 19:10:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"194";;"4394";"2";"4394-2.mov";"2025-10-02 19:13:34";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"195";;"25328";"1";"25328-1.mov";"2025-10-02 19:16:01";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";"mit Hund"
"196";;"6433";"1";"6433-1.mov";"2025-10-02 19:20:02";"2";"1";NULL;"0";NULL;"0";"0";"1";"0";
"197";;"20292";"1";"20292-1.mov";"2025-10-02 19:22:37";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"198";;"28015";"2";"28015-2.mov";"2025-10-02 19:32:48";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"199";;"2844";"2";"2844-2.mp4";"2025-10-02 19:55:03";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"200";;"9958";"1";"9958-1.mov";"2025-10-02 19:57:19";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"201";;"25804";"1";"25804-1.mov";"2025-10-02 19:59:00";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
"202";;"15564";"4";"15564-4.mp4";"2025-10-02 20:37:07";"1";"1";NULL;"0";NULL;"0";"0";"1";"0";
